year,fund,recipient,location,artform,amount_awarded
2022,Arts Centre Partnership Funding,An Grianán Theatre,Ireland,Arts Centres,150000
2022,Arts Centre Partnership Funding,An Táin Arts Centre,Ireland,Arts Centres,100000
2022,Arts Centre Partnership Funding,Axis Arts Centre,Ireland,Arts Centres,115000
2022,Arts Centre Partnership Funding,Backstage Theatre,Ireland,Arts Centres,265000
2022,Arts Centre Partnership Funding,Ballina Arts Centre,Ireland,Arts Centres,55000
2022,Arts Centre Partnership Funding,Birr Theatre & Arts Centre,Ireland,Arts Centres,40000
2022,Arts Centre Partnership Funding,Civic Theatre,Ireland,Arts Centres,270000
2022,Arts Centre Partnership Funding,Cork Opera House,Ireland,Arts Centres,200000
2022,Arts Centre Partnership Funding,Draíocht Arts Centre,Ireland,Arts Centres,225000
2022,Arts Centre Partnership Funding,Droichead Arts Centre,Ireland,Arts Centres,270000
2022,Arts Centre Partnership Funding,Dublin Municipal Theatre,Ireland,Arts Centres,105000
2022,Arts Centre Partnership Funding,Dunamaise Arts Centre,Ireland,Arts Centres,125000
2022,Arts Centre Partnership Funding,Everyman,Ireland,Arts Centres,280000
2022,Arts Centre Partnership Funding,Galway Arts Centre,Ireland,Arts Centres,180000
2022,Arts Centre Partnership Funding,Garage Theatre,Ireland,Arts Centres,71000
2022,Arts Centre Partnership Funding,Garter Lane Arts Centre,Ireland,Arts Centres,260000
2022,Arts Centre Partnership Funding,Glór,Ireland,Arts Centres,210000
2022,Arts Centre Partnership Funding,Hawk’s Well Theatre,Ireland,Arts Centres,290000
2022,Arts Centre Partnership Funding,Linenhall Arts Centre,Ireland,Arts Centres,250000
2022,Arts Centre Partnership Funding,Mermaid Arts Centre,Ireland,Arts Centres,290000
2022,Arts Centre Partnership Funding,Pavilion Theatre,Ireland,Arts Centres,205000
2022,Arts Centre Partnership Funding,Project Arts Centre,Ireland,Arts Centres,910000
2022,Arts Centre Partnership Funding,Ramor Theatre | Town Hall Cavan,Ireland,Arts Centres,80000
2022,Arts Centre Partnership Funding,Regional Cultural Centre,Ireland,Arts Centres,170000
2022,Arts Centre Partnership Funding,Riverbank Arts Centre,Ireland,Arts Centres,110000
2022,Arts Centre Partnership Funding,Roscommon Arts Centre,Ireland,Arts Centres,155000
2022,Arts Centre Partnership Funding,RUA RED,Ireland,Arts Centres,60000
2022,Arts Centre Partnership Funding,Siamsa Tire Theatre and Arts Centre,Ireland,Arts Centres,310000
2022,Arts Centre Partnership Funding,Sirius Arts Centre,Ireland,Arts Centres,120000
2022,Arts Centre Partnership Funding,Solstice Arts Centre,Ireland,Arts Centres,185000
2022,Arts Centre Partnership Funding,Source Arts Centre,Ireland,Arts Centres,110000
2022,Arts Centre Partnership Funding,The Dock,Ireland,Arts Centres,120000
2022,Arts Centre Partnership Funding,The Lime Tree Belltable,Ireland,Arts Centres,250000
2022,Arts Centre Partnership Funding,The Model,Ireland,Arts Centres,300000
2022,Arts Centre Partnership Funding,Theatre Forum Ireland,Ireland,Arts Centres,219000
